Timet,Wt,M_Vt,m_ENt,m_ECt,rt,j_NAt,j_Ct,j_It,j_CAt,j_EN_Ct,j_EC_Ct,j_EN_Mmt,j_EC_Mmt,j_EN_Gt,j_EC_Gt,j_Gt,j_VMt,j_EN_Rt,j_EC_Rt,Nt,Ct,It,j_Ot,L_allomt
51,0.0533042113584908,0.00172005580330613,0.00395574098871334,0.0295401705681862,0.00116699160354667,0.000141479719738431,0,0.0442301971391424,0,9.56986602621495e-05,0.00146376527874684,5.07186786946469e-06,1.26796696736617e-06,9.06267923926848e-05,0.00146249731177947,0.00116699159270544,0,4.39471295719332e-05,0.000295505718098457,7.26053447626851e-06,0,2.53494101435633,0.00572346082959281,5.96199767174543
52,0.0533102608419423,0.00172206309398622,0.00403645814828473,0.0283078873047075,0.00114289779210263,0.00015257830856596,0.00951728772129357,0.0392579142654836,0.00228843901040357,9.78574346316526e-05,0.00140491140619931,5.077257851983e-06,1.26931446299575e-06,9.27801767796696e-05,0.00140364209173631,0.00114289778901656,0,4.70642654962195e-05,0.000260744302443496,1.00861253486962e-05,0.00148085708419112,0.896086434140921,0.00507311550667531,5.96245826641693
53,0.0534359582339188,0.0017240312360942,0.00412892360206005,0.0293937317592113,0.00117042938833371,0.00015791520461032,0.00943653189503515,0,0,9.90830689421424e-05,0.0014451444100094,5.03354835514139e-06,1.25838708878535e-06,9.4049520587001e-05,0.00144388602292061,0.00117042938395501,0,4.72323456137437e-05,0.000273456638574183,1.27999811972689e-05,0.00275263836051109,0,0,5.97202482402016
54,0.0534436273262282,0.00172604909291933,0.00422543223525456,0.0281602950364349,0.00114135504412409,9.1497885841666e-05,0.00941125131791066,0,0,0.000101227557068697,0.0013813983068449,5.01961788320759e-06,1.2549044708019e-06,9.62079391854896e-05,0.0013801434023741,0.0011413550397548,0,5.05537380183443e-05,0.000238788362234154,2.36458499776112e-06,0.00707329545621331,0,0,5.97260826942358
55,0.0534453754924017,0.00172801912775794,0.00425637820984872,0.0269616653608169,0.00110913882048099,0.000146987618883305,0.00940913984186506,0,0,0.000102106045903243,0.00132346834198236,5.01961788320759e-06,1.2549044708019e-06,9.70864280200356e-05,0.00132221343751156,0.00110913881570344,0,5.2720875889619e-05,0.000213074621393858,8.90876130469024e-06,0.0014236378501398,0,0,5.97274126180211
56,0.0534525529220748,0.00172993574085507,0.00434398765682225,0.0258000599483725,0.00107818116138789,8.84585335984419e-05,0.00939502630374804,0,0,0.000104159328742192,0.00126507522758408,5.01119909145084e-06,1.25279977286271e-06,9.91481296507411e-05,0.00126382242781121,0.00107818115751882,0,5.60208837918526e-05,0.000185641269966843,2.22343805848508e-06,0.00386629491696635,0,0,5.97328727282345
57,0.0534545025563039,0.00173180092498127,0.00437402205143428,0.0246742447251596,0.00104762169824689,0.000136357911675105,0.00942081034439049,0,0,0.000105319472530403,0.00121408217085074,5.02520527724076e-06,1.25630131931019e-06,0.000100294267253162,0.00121282586953143,0.00104762169494126,0,5.83893998613655e-05,0.000165204174319882,6.54468304873116e-06,0.00259965023936427,0,0,5.97343558396107
58,0.0534611447640587,0.00173361519720733,0.00445302863004452,0.0235829970370348,0.00101785540641575,4.49969366059433e-05,0,0,0,0.000107540134943708,0.00116305747592233,5.03354835514139e-06,1.25838708878535e-06,0.000102506586588567,0.00116179908883354,0.00101785540370892,0,6.17923708030043e-05,0.000143943684912543,7.82494851618179e-07,0,0,0,5.97394085212818
59,0.0534594307525028,0.00173537976680845,0.00444156602616344,0.0225254847965001,0.000984311387718195,0.000122815487571331,0.00946262399587905,0,0,0.000107718830795078,0.00111476820583601,5.04735107850642e-06,1.26183776962661e-06,0.000102671479716572,0.00111350636806638,0.000984311384709874,0,6.32990247559785e-05,0.000129194983128059,4.61989011700551e-06,0.00326501070661574,0,0,5.97381047036889
60,0.0534652118168353,0.00173708792087493,0.00450925992120122,0.0215048199842803,0.00094970940275481,0.000154422105478094,0.009437586673391,0,0,0.00010929906673768,0.00106292555913971,5.03770267420816e-06,1.25942566855204e-06,0.000104261364063472,0.00106166613347116,0.000949709400008336,0,6.62729884876445e-05,0.000111956733264756,1.11926858406563e-05,0.000465717842986724,0,0,5.9742502201374
61,0.0534741691950959,0.0017387376496068,0.00460974616303388,0.0205222321553352,0.000911280879119568,0.000135264472134032,0.00937652831268682,0,0,0.000111073315629144,0.00100768108200311,5.00132049320943e-06,1.25033012330236e-06,0.000106071995135934,0.0010064307518798,0.000911280876239188,0,6.96207605744148e-05,9.51498754459166e-05,6.46764617933353e-06,0.00395796064741763,0,0,5.97493155344594
62,0.0534815502052703,0.00174032212798069,0.00469239523051978,0.0195814844434734,0.000876293490331266,0.000101649023831533,0.00934717472808039,0.0259774554715052,0.00172862043053526,0.000112861877355612,0.000959110089094265,4.98567522372077e-06,1.24641880593019e-06,0.000107876202131892,0.000957863670288335,0.000876293488311604,0,7.28244629720024e-05,8.15701818489577e-05,2.9786806863851e-06,0.00386919843901841,0.233914171083916,0.00338175543565731,5.97549295463497
63,0.0535762898212813,0.00174184716093252,0.00474261247827593,0.0204072488212297,0.000914610607219954,0,0.00941026033878272,0.042711661538202,0.00240204076905577,0.000114692867782995,0.00100570122255286,5.01961788320759e-06,1.2549044708019e-06,0.000109673249899788,0.00100444631808206,0.00091461060453263,0,7.3088826194816e-05,8.98357133742843e-05,0,0.0024711944150405,1.84940984308518,0.00556432534984346,5.98269667497297
64,0.0536965635897231,0.00174344027282207,0.00468936191038971,0.0218657758235333,0.000962384259615087,0.000132310936744335,0.00937573255690689,0.0444950644492398,0.00245960122968012,0.000112752039973198,0.00107253424389277,5.00132049320943e-06,1.25033012330236e-06,0.000107750719479988,0.00107128391376947,0.000962384254352685,0,6.92553501445284e-05,0.000108899659046377,5.98815775813681e-06,0.002151177102141,3.48826442330059,0.00579170282685788,5.99183608083663
